year,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
1979,Ohio,10731000,49092,865,3409.0,-1.0,20909,23909,501389,138128,316162,47099
1980,Ohio,10766808,53646,871,3696.0,-1.0,24082,24997,531141,157874,327322,45945
1981,Ohio,10776000,53509,799,3339.0,-1.0,25529,23842,533498,160951,326770,45777
1982,Ohio,10791000,47126,676,3223.0,-1.0,19809,23418,485468,141316,302962,41190
1983,Ohio,10746000,42759,600,3387.0,-1.0,17132,21640,441362,124179,280156,37027
1984,Ohio,10752000,41430,551,3734.0,-1.0,15656,21489,418011,112887,266148,38976
1985,Ohio,10744000,41000,554,3966.0,-1.0,14301,22179,408882,104920,266066,37896
1986,Ohio,10752000,45260,595,4151.0,-1.0,15283,25231,423387,106212,276779,40396
1987,Ohio,10784000,45436,630,4305.0,-1.0,16511,23990,447964,114580,292093,41291
1988,Ohio,10872000,49144,585,4632.0,-1.0,17546,26381,455890,112130,300355,43405
1989,Ohio,10907000,51109,652,4872.0,-1.0,18635,26950,465143,111057,306609,47477
1990,Ohio,10847115,54904,663,5075.0,-1.0,20451,28715,470469,106575,310673,53221
1991,Ohio,10939000,61460,783,5748.0,-1.0,23536,31393,489100,115423,318933,54744
1992,Ohio,11016000,57935,724,5739.0,-1.0,21925,29547,456017,104357,299774,51886
1993,Ohio,11091000,55915,667,5444.0,-1.0,21373,28431,441550,97394,295880,48276
1994,Ohio,11102000,53930,662,5231.0,-1.0,20821,27216,441380,96175,297792,47413
1995,Ohio,11151000,53799,600,4835.0,-1.0,19931,28433,437424,93539,297624,46261
1996,Ohio,11173000,47896,538,4617.0,-1.0,18336,24405,449935,93336,311071,45528
1997,Ohio,11186000,48706,523,4566.0,-1.0,17755,25862,455799,94972,315908,45419
1998,Ohio,11209000,40628,443,4543.0,-1.0,14960,20682,444438,90805,310612,43021
1999,Ohio,11256654,35616,397,4129.0,-1.0,14405,16685,414264,87023,288049,39192
2000,Ohio,11353140,37935,418,4271.0,-1.0,15610,17636,420939,88636,293277,39026
2001,Ohio,11389785,40023,452,4466.0,-1.0,17199,17906,435115,96910,295976,42229
2002,Ohio,11408699,40128,526,4809.0,-1.0,17871,16922,428976,99164,287045,42767
2003,Ohio,11437680,38185,526,4660.0,-1.0,16895,16104,417483,95083,281383,41017
2004,Ohio,11450143,38787,506,4744.0,-1.0,17429,16108,419337,96518,282168,40651
2005,Ohio,11470685,40162,590,4671.0,-1.0,18673,16228,420705,100183,279051,41471
2006,Ohio,11478006,41491,560,4770.0,-1.0,19418,16743,423334,105639,279718,37977
2007,Ohio,11466917,40759,529,4661.0,-1.0,18351,17218,397681,99049,264677,33955
2008,Ohio,11485910,40436,547,4531.0,-1.0,18706,16652,391667,102428,260788,28451
2009,Ohio,11542645,38305,527,4119.0,-1.0,17670,15989,376446,104009,249777,22660
2010,Ohio,11537968,36306,479,3730.0,-1.0,16486,15611,376836,107125,248581,21130
2011,Ohio,11541007,35218,500,3679.0,-1.0,15991,15048,380572,112901,246744,20927
2012,Ohio,11553031,34827,478,3813.0,-1.0,15396,15140,370435,105312,245372,19751
2013,Ohio,11572005,33722,478,3594.0,4391.0,14483,14370,338414,91090,227799,19525
2014,Ohio,11596998,33130,464,3825.0,5228.0,12780,14658,322517,79466,224942,18109
2015,Ohio,11605090,34373,522,3990.0,5441.0,12617,15793,303743,69994,216354,17395
2016,Ohio,11622554,35759,683,4255.0,5754.0,12574,16748,300945,67081,214102,19762
2017,Ohio,11664129,34621,741,-1.0,5833.0,11224,16823,280557,57521,202320,20716
2018,Ohio,11676341,34426,596,-1.0,5852.0,9608,18370,257848,49456,188433,19959
2019,Ohio,11696507,34618,584,-1.0,5850.0,8861,19323,240540,44232,177610,18698
2020,Ohio,11693217,36104,820,-1.0,5052.0,7826,22406,216363,37279,159007,20077
